Name,TakesOnlineOrders,hastablebooking,Ratings,Votes,Rest_Type,Cuisines,Cost,Type,City,Ratings_null,target
Gold Line Breadz,0,0,3.7,53,52,1932,350.0,2,27,0,0
Zodiac  Fortune Select JP Cosmos Hotel,1,1,3.8,91,13,1374,1800.0,2,20,0,1
Five Star New Ambur Biryani,0,0,3.7,0,74,2174,300.0,2,29,1,0
Pathys Kitchen,1,0,3.5,21,74,2225,500.0,2,3,0,0
Shawns Bakehouse,0,0,3.7,0,0,1780,100.0,2,23,1,0
The Milkshake Theory,1,0,3.2,40,56,2010,400.0,2,6,0,0
Excelsior Bakery,0,0,3.6,15,0,1780,100.0,3,20,0,0
Cravings,1,0,3.7,139,74,1119,400.0,2,4,0,0
Panda Foods,1,0,3.5,15,74,1244,300.0,2,10,0,0
Foxtrot  House of Subculture,0,1,4.4,377,10,2260,1000.0,4,3,0,1
Bihari Hotel,0,0,3.7,0,74,2055,200.0,4,18,1,0
Night Booze,0,0,3.2,8,14,1199,600.0,6,10,0,0
HaseeEShan Makers Of Biryani,1,0,3.5,15,13,2150,500.0,2,19,0,0
Laddoos,1,0,2.9,166,85,1442,250.0,3,14,0,0
Cake N Cookies,0,0,3.7,0,0,1780,350.0,3,24,1,0
Mughlai Kitchen,1,0,3.5,270,93,903,600.0,2,0,0,0
Nandhanus Rasoi,1,0,3.0,175,74,2622,400.0,2,1,0,0
Thalis Of India,1,0,3.7,0,27,1734,500.0,2,4,1,0
Surabhi Restaurant,0,0,3.7,0,13,1743,400.0,4,28,1,0
Choco Allure,0,0,3.4,5,92,218,300.0,2,23,0,0
GMT  Gelateria Montecatini Terme,1,0,4.4,69,74,246,300.0,2,13,0,1
Cafe Dhide,1,1,4.2,869,3,2266,600.0,4,0,0,1
Eagles Pizza,1,0,3.8,22,74,1485,650.0,2,26,0,1
Khazana Food Paradise,0,0,4.1,362,74,963,400.0,4,5,0,1
Polammas Mess,1,0,4.2,185,59,1027,300.0,2,16,0,1
Aramane Donne Biriyani,1,0,3.9,191,74,2109,300.0,2,24,0,1
Cafe Mojo,0,0,3.7,0,74,287,400.0,2,9,1,0
Bameys Restro Cafe,1,0,4.2,532,13,2690,600.0,2,0,0,1
WataBurger,1,0,4.0,108,74,2250,500.0,2,25,0,1
Bflat Bar,0,1,3.9,854,53,1044,1600.0,5,23,0,1
Chettys Corner,1,0,3.8,34,74,406,250.0,2,28,0,1
Cafe Shuffle,1,1,4.2,153,3,2439,600.0,2,25,0,1
Sea Spice by 7 Star,1,1,3.7,350,13,1581,1200.0,4,25,1,0
Hotel Devanand Kerala Restaurant,1,0,3.4,94,74,690,300.0,4,10,0,0
The Chaat Shop,0,0,3.2,9,74,1811,100.0,2,24,0,0
Biryani Pot,0,0,3.2,10,92,2063,500.0,2,19,0,0
Savera Lassi Shop,1,0,3.7,0,56,2029,100.0,2,20,1,0
L J Iyengar Bakery,0,0,3.9,53,0,1780,100.0,3,12,0,1
Cafe Club Kerala Restaurant,0,0,3.7,0,74,690,300.0,2,24,1,0
Bowlful,1,0,3.6,12,92,917,500.0,2,28,0,0
Samosa Express,1,0,3.1,9,74,1811,150.0,2,25,0,0
Sweetie Celebrations Cafe,1,0,3.7,0,93,226,300.0,2,7,1,0
Popsies,1,0,3.9,823,13,2608,750.0,4,29,0,1
Mysore Carnival Restaurant,0,0,3.8,14,74,2601,350.0,2,0,0,1
Bakers77,1,0,4.0,35,52,1927,400.0,2,16,0,1
Black Pepper Lounge  Case de Bengaluru,0,1,3.7,81,53,437,1200.0,5,3,0,0
Pals Food Point,0,0,3.7,0,74,1628,150.0,4,21,1,0
Spicy Punjabi Pharatha,1,0,2.9,76,74,1027,400.0,2,17,0,0
Attic Lounge,1,1,4.0,1238,3,2257,700.0,4,29,0,1
Amnesia  The Poolside Bar,0,0,3.7,15,14,1043,2000.0,6,6,0,0
Shanghai Bistro,1,0,4.1,251,13,2721,800.0,4,14,0,1
Juicy Momos,1,0,3.2,4,51,1901,250.0,2,29,0,0
Go Native,1,1,4.3,1252,15,499,800.0,2,16,0,1
Origin Espresso Bar,0,0,3.7,0,3,2257,300.0,1,10,1,0
Lychees Restaurant,0,0,3.2,53,74,287,400.0,4,22,0,0
Vinnys,1,0,3.9,212,13,1492,800.0,4,5,0,1
New Grand Restaurant,1,0,3.1,11,13,1359,500.0,2,2,0,0
Prajwal The Restaurant,0,0,3.3,47,74,917,300.0,4,19,0,0
Linoui  The Leela Palace,0,0,3.5,9,29,218,400.0,2,23,0,0
New York Burrito,0,0,3.1,7,74,821,400.0,4,27,0,0
Begin with usTea Time Cafe,1,0,3.8,36,56,2054,300.0,2,28,0,1
Bengal Metro,0,0,3.7,0,74,1963,600.0,4,28,1,0
Smoor,1,0,3.7,47,29,226,900.0,3,14,0,0
Hotel Smile,1,0,3.1,6,13,999,400.0,2,16,0,0
Jodhpur Jaika,0,0,3.3,4,74,1432,200.0,2,0,0,0
The Only Place,1,1,4.2,2923,13,583,1000.0,2,18,0,1
Stop N Joy,1,0,3.8,28,74,287,150.0,4,1,0,1
Apna Punjab,1,0,3.7,479,74,1061,450.0,2,29,0,0
Le Charcoal Xpress,1,0,4.0,162,74,291,500.0,2,17,0,1
The Eatery Cafe and Restaurant,0,0,3.7,0,3,2331,500.0,4,3,1,0
Smokie Brownie,1,0,3.2,7,3,2257,600.0,4,18,0,0
Eagles Pizza,1,0,3.8,19,13,1485,400.0,2,2,0,1
Sree Krishna Kafe,1,0,4.2,972,74,1628,200.0,2,2,0,1
Crunch Pizzas,1,0,2.6,54,27,627,600.0,2,0,0,0
7 Plates,1,0,3.7,259,13,892,750.0,4,29,0,0
Snehas Kitchen,0,0,3.7,0,27,917,200.0,2,25,1,0
Ice N Spice,0,0,3.7,0,74,552,300.0,2,29,1,0
SNACKOMATE,1,0,3.7,0,74,287,300.0,4,0,1,0
Chai Point,0,0,3.8,149,89,1872,250.0,4,22,0,1
Mirchi Bites Spice Heaven,1,0,2.7,12,13,534,650.0,2,8,0,0
Kababs N Biryani,1,0,3.4,22,74,1628,200.0,2,1,0,0
Indian Paratha Factory,1,0,2.9,24,74,917,250.0,2,0,0,0
The Food Corner,1,0,3.7,0,74,999,400.0,2,22,1,0
Neetus Kitchen,0,0,3.8,21,92,1982,350.0,2,17,0,1
Madeena Hotel,1,0,4.0,88,74,1285,400.0,2,2,0,1
Anda Ka Funda,1,0,3.4,89,74,1119,250.0,2,1,0,0
Aathithya,0,0,3.1,16,13,1168,1100.0,4,13,0,0
Big Foodys,0,0,3.2,4,27,1137,500.0,2,29,0,0
Fresh Dinner,1,0,3.1,105,92,963,500.0,2,4,0,0
Annapoorani,0,0,3.9,434,13,1628,500.0,4,23,0,1
Firangi Bake,1,0,4.0,70,27,827,600.0,2,13,0,1
Kettle  Kegs,1,0,3.7,0,27,1871,200.0,2,8,1,0
Hoppipola,1,1,4.4,859,53,94,1200.0,4,27,0,1
AlBaik Kabab Centre,0,0,3.7,0,74,2093,300.0,2,26,1,0
Fiero Pizzeria,1,0,4.0,63,74,606,400.0,2,3,0,1
KC Das  Sweet Spot,0,0,3.6,46,90,847,200.0,3,16,0,0
1522  The Pub,1,0,4.2,1731,69,2559,1400.0,6,7,0,1
Indori Chatorey,1,0,2.8,137,74,1432,300.0,2,2,0,0
Shyamali Fast Food Kolkata Style,0,0,3.7,0,74,2098,250.0,2,29,1,0
Grills  Rolls,1,0,2.5,321,74,1069,400.0,4,4,0,0
Punjab Bistro,1,1,4.4,459,14,917,1500.0,0,29,0,1
Bhavani Chats,1,0,3.6,34,74,1811,100.0,2,4,0,0
AutoExpress  Hot Dogs,1,0,3.7,19,92,364,300.0,2,10,0,0
Mughal Restaurant,1,0,3.3,218,13,1290,550.0,4,19,0,0
Naati Biriyani,0,0,3.1,4,74,678,300.0,4,2,0,0
Queen Pearls,1,0,3.6,25,92,1463,500.0,2,0,0,0
The Tiffin Express,0,0,2.6,16,74,1628,250.0,4,29,0,0
FixMyNutrition,0,0,3.7,0,92,1538,500.0,3,5,1,0
Pizza Hut,1,0,3.8,236,13,1481,750.0,2,18,0,1
Amnesia  The Poolside Bar,0,0,3.7,15,14,1043,2000.0,4,6,0,0
Punjabi Daawat,0,0,2.4,221,74,917,550.0,4,29,0,0
Eat  Joy Restaurant,1,0,3.1,7,93,361,300.0,4,24,0,0
Anupams Coastal Express,1,0,4.1,179,13,1609,600.0,2,16,0,1
Kaaka T Cafe,0,0,3.5,6,74,287,400.0,2,29,0,0
The French Loaf,0,0,3.1,31,74,1924,400.0,2,0,0,0
Raja Foodpath,0,0,3.7,0,74,1364,200.0,2,0,1,0
Al Sadique Restaurant,0,0,3.4,32,74,907,350.0,2,6,0,0
Sherlocks Pub,0,1,3.9,589,72,152,1300.0,4,28,0,1
Biruvas Biryani House,1,0,3.7,0,74,2156,200.0,4,14,1,0
Melting Cakes,0,0,3.7,0,0,1780,600.0,3,14,1,0
Alankrutha,1,0,3.9,255,13,2358,500.0,2,0,0,1
WAFL Co,1,0,4.2,53,29,226,400.0,2,29,0,1
Paradox RestOCafe,1,0,3.7,124,13,208,600.0,2,27,0,0
Satkar Restaurant,1,0,3.6,75,74,1038,350.0,4,21,0,0
Taste Of Kolkata,1,0,3.1,59,74,1973,400.0,4,0,0,0
Arhams Resto,0,0,3.7,0,74,2639,250.0,4,20,1,0
TRIGEREATO,1,1,4.4,102,3,2340,700.0,3,28,0,1
Halftime,0,0,3.7,0,74,999,200.0,2,15,1,0
Oven Fresh,0,0,3.7,0,0,1927,600.0,3,8,1,0
The Biere Club,1,1,4.3,3484,73,41,1700.0,2,18,0,1
Panchami Garden,0,0,3.5,56,74,1730,400.0,4,3,0,0
Bhagatram Sweets,0,0,3.6,221,74,1842,300.0,4,18,0,0
Pakiza Dilli Darbar Restaurant,1,0,3.2,13,74,2063,300.0,4,28,0,0
Nandhana Palace,0,1,4.3,1083,14,2358,800.0,4,25,0,1
Kabab World,0,0,3.0,25,74,999,500.0,4,14,0,0
The Irish House,1,0,4.2,858,20,266,1700.0,4,14,0,1
Driven Cafe,1,0,3.4,122,3,2296,600.0,4,18,0,0
Tea Break Lounge,1,0,3.3,5,74,2010,400.0,2,5,0,0
Street Foods by Punjab Grill,1,0,3.6,19,44,1851,800.0,4,4,0,0
Bold,0,1,4.0,872,12,856,1500.0,5,8,0,1
The Paramount Hotel,1,0,3.6,243,13,1337,1000.0,4,3,0,0
Hyderabadi Biriyani,1,0,3.4,33,13,2122,800.0,2,17,0,0
Howrah Bridge,1,0,3.3,292,13,1991,600.0,2,12,0,0
Easy Tiger,0,0,4.3,2286,12,444,1100.0,5,13,0,1
Le Charcoal,1,1,3.9,328,13,602,600.0,2,19,0,1
Eating Love,1,0,4.3,160,3,2452,800.0,4,14,0,1
Eat Repeat,1,0,3.9,101,74,1628,150.0,4,1,0,1
Cool Treat Cafe  Cakes,0,0,3.7,0,0,1927,300.0,3,21,1,0
CafEleven,0,0,4.0,424,3,2331,450.0,4,1,0,1
Sumac Resto Cafe,0,0,3.5,6,3,2509,400.0,4,27,0,0
Hyderabad Biryaani House,1,0,4.1,1117,13,2161,750.0,2,29,0,1
Skytouch Le Cafe,1,0,3.7,127,3,2444,700.0,2,4,0,0
The Biere Club,1,1,4.3,3485,73,41,1700.0,5,20,0,1
Tiger Trail  Ramada Hotel,1,1,4.0,188,14,1262,1300.0,4,18,0,1
Polar Bear,1,0,3.9,75,29,250,400.0,4,16,0,1
The Biryani House,1,0,3.7,0,74,2225,400.0,4,4,1,0
Rajastani Rasoi,0,0,3.2,6,74,917,100.0,4,16,0,0
The Wok,1,0,2.8,89,44,2608,500.0,2,19,0,0
Ashirvaad Grand,1,0,4.0,115,74,2663,400.0,4,2,0,1
Tree Top,1,0,3.8,75,13,77,1000.0,0,3,0,1
Sriracha,0,0,4.3,699,13,1884,1500.0,4,13,0,1
Filmy Kitchen,1,0,3.7,182,74,1410,400.0,2,14,0,0
Fritz Haber,1,0,3.3,5,27,555,400.0,3,0,0,0
Burger King,1,0,3.5,408,74,2233,600.0,2,27,0,0
Chettayees,1,0,3.4,155,74,718,400.0,4,2,0,0
Agent Jacks Bar,0,1,4.0,592,76,173,1300.0,6,23,0,1
Kolkata Famous Kati Roll,0,0,3.7,0,92,408,150.0,2,15,1,0
MRS Paradise,0,0,3.4,21,13,1737,650.0,2,25,0,0
Carnival Cakes  Breads,0,0,3.5,49,52,1927,200.0,3,12,0,0
Marunadan Kada,0,0,3.3,6,74,749,250.0,2,0,0,0
The Chariot,1,0,2.9,50,74,1737,350.0,2,13,0,0
LG Park Restaurant,0,0,3.4,7,13,1344,800.0,2,15,0,0
BJM Restaurant  Cafe,0,0,3.7,0,13,1132,600.0,4,21,1,0
Me And My Cake,0,0,3.3,5,91,1902,500.0,3,2,0,0
Chef Bakers,1,0,3.5,32,4,1919,400.0,1,19,0,0
Gowri Sweets,0,0,3.3,4,86,847,300.0,3,2,0,0
Akshay Biryani Paradise,0,0,3.7,0,74,1730,350.0,2,21,1,0
KFs Biryanis and Kababs,1,0,3.4,17,74,2127,400.0,2,28,0,0
H3O,0,0,3.3,4,76,999,1000.0,6,3,0,0
Black Mug Cafe,1,0,3.7,171,3,2257,300.0,1,4,0,0
Red Pepper,0,0,3.7,0,74,949,250.0,2,19,1,0
Pavitra Paradise,0,0,3.8,46,16,1902,200.0,3,11,0,1
Crave Bit Cafe,0,0,3.7,0,3,2257,600.0,0,4,1,0
Empire Restaurant,1,0,4.2,8185,13,1315,750.0,4,23,0,1
Coconut Grove,0,0,3.4,97,14,1656,1100.0,5,0,0,0
DeCafe,0,0,3.7,0,74,1559,300.0,4,20,1,0
Yumjar,1,0,3.7,0,74,299,300.0,2,11,1,0
Cafe Shuffle,1,1,4.2,150,3,2439,600.0,1,1,0,1
Hotel Toms Restaurant,1,1,4.4,722,13,795,1000.0,4,6,0,1
Body Temple,1,0,3.3,12,74,489,500.0,2,3,0,0
SS Hot Dum Briyani Point,0,0,3.7,0,74,2180,300.0,4,0,1,0
Sardar Ka Chullah,0,0,3.3,7,44,917,400.0,2,14,0,0
MRS Paradise,0,0,3.4,21,13,1737,650.0,4,16,0,0
Delight Food,1,0,2.7,172,13,2447,450.0,4,0,0,0
Sphyre  Gateway Hotel,0,0,3.6,45,53,437,1700.0,4,6,0,0
Pet Full  99,1,0,3.1,15,74,917,200.0,2,17,0,0
Dominos Pizza,1,0,2.7,332,74,1481,400.0,2,12,0,0
Frozen Bottle,1,0,3.6,13,56,2008,400.0,3,17,0,0
Eat Eroo Bombay Vada Pav  Chats,0,0,3.7,0,74,1832,200.0,2,19,1,0
Raja Bhojaun,1,0,3.4,20,92,2663,250.0,2,10,0,0
Ji Hazoor,1,1,4.0,2856,14,898,1100.0,4,15,0,1
My Cafe,0,0,3.6,16,74,1061,350.0,4,21,0,0
Southern Spice,0,1,3.0,83,13,1628,1200.0,2,15,0,0
Enerjuvate Studio  Cafe,0,1,4.4,464,3,2357,800.0,4,0,0,1
T4U Cafe,0,0,3.6,17,74,2577,400.0,1,26,0,0
THE BEL ST,0,0,3.9,523,7,2433,1100.0,1,9,0,1
Spicy Khana Point,1,0,2.8,71,74,1027,500.0,4,8,0,0
WelcomCafe Jacaranda  WelcomHotel Bengaluru,0,0,4.0,53,39,1280,2000.0,4,20,0,1
Kanti Sweets,1,0,4.0,154,74,847,400.0,3,27,0,1
Natis By Wings,0,0,3.7,0,74,917,200.0,4,7,1,0
Siddique Kabab Centre,1,0,3.9,431,13,894,550.0,2,22,0,1
Andhra Star Biryani,1,0,3.2,6,74,2063,200.0,2,19,0,0
Shree Nandini Andhra Mess,0,0,3.3,5,59,2225,150.0,4,2,0,0
FreshMenu,1,0,3.9,587,27,500,450.0,2,3,0,1
Best Biryani,0,0,3.7,0,74,980,300.0,4,17,1,0
Cafe Cerrise,0,0,3.8,99,3,2378,600.0,1,6,0,1
Samosa Singh,1,0,4.0,153,74,1838,200.0,2,4,0,1
Parisar Veg Restaurant,1,0,3.6,64,13,2663,400.0,4,0,0,0
Shree Saraswathi Sweets Centre,0,0,3.4,9,90,847,100.0,3,13,0,0
Hang10 Resto N Cafe,1,0,3.7,101,3,2472,700.0,2,29,0,0
Hyderabadi Biryani Hub,1,0,3.6,218,13,2156,600.0,2,28,0,0
Thalassery Restaurant,1,0,3.1,509,74,700,500.0,4,19,0,0
Jai Mataji Farshan and Sweets,0,0,3.7,0,90,847,150.0,3,18,1,0
Cake Dilim,1,0,3.7,71,0,1902,400.0,2,15,0,0
Uphar Dharshni,0,0,3.6,15,74,1730,150.0,4,16,0,0
Hotel Salam,1,0,4.1,130,74,1027,400.0,2,29,0,1
Billionaires Cafe,1,0,3.8,47,3,2431,600.0,1,0,0,1
Fuel Resto Bar,0,0,4.2,38,76,463,2000.0,6,18,0,1
Stars N Stripes,0,0,2.7,77,74,1061,500.0,2,6,0,0
Tall Blonde French,1,0,4.3,723,74,287,400.0,2,28,0,1
Sweet Chariot,0,0,3.7,0,0,1927,500.0,3,25,1,0
Birthday Buddy,0,0,3.7,0,39,1364,1200.0,4,4,1,0
The Milkshake Theory,0,0,3.7,0,56,2010,400.0,2,8,1,0
Shawarma Inc,1,0,3.1,28,44,1527,250.0,4,5,0,0
Sprinkled,0,0,3.8,17,92,1902,500.0,2,26,0,1
Maravanthe,1,1,4.4,686,13,1604,1000.0,2,20,0,1
Juicy,1,0,3.8,80,56,2031,200.0,2,10,0,1
Taste Of Tibet,0,0,4.1,343,74,1900,300.0,4,13,0,1
Ice Cubes,0,0,3.0,16,74,355,300.0,4,23,0,0
Crunch Pizzas,0,0,2.5,52,92,627,600.0,2,14,0,0
Bistro Oui,1,1,4.1,402,6,2381,1200.0,4,2,0,1
Sri Vishnu Bhavan Veg,0,0,3.7,0,74,1737,250.0,4,20,1,0
Turkish Shawarma,1,0,3.6,21,92,1512,200.0,2,2,0,0
Foodies Choice,1,0,3.7,48,92,402,150.0,2,26,0,0
Kanti Sweets,1,0,3.8,92,74,847,400.0,4,26,0,1
Happy Eats,1,0,3.7,0,27,1160,300.0,2,18,1,0
Flame Pub  Restaurant  Brigade Garden,0,0,2.9,24,12,1401,1900.0,4,20,0,0
Gorilla Barfare,0,0,4.2,271,72,189,1400.0,5,2,0,1
EatWater,1,0,4.2,121,14,912,1000.0,4,20,0,1
Lassi Corner,1,0,3.7,143,56,2006,300.0,3,8,0,0
Ooty Chocolates,1,0,3.5,17,29,218,300.0,3,18,0,0
Lot Like Crepes,1,0,4.6,1026,8,2395,550.0,1,28,0,1
Nirvana,0,0,3.7,0,74,999,400.0,2,19,1,0
Rock Stone Ice Cream Factory,1,0,4.0,128,29,548,230.0,2,0,0,1
Aahara Vihar,0,0,3.5,13,74,1737,300.0,4,11,0,0
Sri Udupi Sagar,0,0,3.5,12,74,1628,200.0,4,3,0,0
Baskin Robbins,0,0,3.6,27,29,555,250.0,3,27,0,0
Zero Kelvin,1,0,4.3,169,29,226,450.0,2,3,0,1
Raat Ki Rani,1,0,4.3,264,27,388,400.0,2,23,0,1
Soul Treat,1,0,4.3,273,0,1921,750.0,3,14,0,1
My Tea House,1,0,3.6,62,79,605,600.0,2,1,0,0
Atithi Point Ande Ka Funda,0,0,3.1,29,74,917,150.0,2,16,0,0
OPUS Club,0,1,4.4,1496,69,129,1900.0,4,17,0,1
The Grill House,1,1,4.1,770,14,2059,1200.0,4,5,0,1
Yumatos,1,0,3.3,7,74,999,500.0,2,19,0,0
Jhonsons Happy Kitchen,0,0,3.7,0,74,1660,300.0,2,5,1,0
Wow Vada Pav,1,0,3.7,40,74,1822,150.0,2,17,0,0
Waffle In The Box,1,0,3.7,0,29,218,300.0,3,3,1,0
Loca Moca  The Indian Grub,0,0,3.4,4,47,963,600.0,4,4,0,0
The Terrace at Windmills Craftworks,0,0,4.1,456,13,917,1800.0,4,15,0,1
Night Kitchen,0,0,3.7,0,74,1209,600.0,2,22,1,0
Manjushree Upahara,1,0,3.8,31,74,1628,150.0,2,4,0,1
Nutri Rich,1,0,3.8,53,74,489,350.0,4,3,0,1
Cafe Hush,0,0,3.6,22,3,2401,500.0,4,29,0,0
Fritz Haber,1,0,4.0,402,29,555,450.0,2,28,0,1
Wow Momo,1,0,3.7,46,74,1901,400.0,2,9,0,0
Kanti Sweets,1,0,3.7,70,90,847,400.0,4,14,0,0
Forage,0,1,4.2,215,13,494,1500.0,2,10,0,1
C K Mega Hot Food,1,0,4.0,103,13,2608,600.0,4,3,0,1
Swiss Bakery Cafe  Gokulam Grand Hotel  Spa,0,0,3.3,6,5,2282,400.0,1,9,0,0
Fandom at Gillys Redefined,0,0,3.9,109,76,437,1500.0,4,2,0,1
Omleterian,1,0,3.7,0,74,557,200.0,2,23,1,0
Shezan,1,0,4.1,391,13,2566,600.0,4,18,0,1
Dice N Dine,1,1,4.3,1808,15,64,900.0,2,2,0,1
Soul Indian Specialty  Svenska Design Hotel,1,1,3.7,267,39,1355,2000.0,4,21,0,0
Burger King,1,0,4.0,557,74,2233,600.0,2,9,0,1
Loveshack,0,1,3.9,1717,55,193,1600.0,1,23,0,1
Regulars Pub  Grub,0,1,3.8,263,72,204,1000.0,6,23,0,1
Eat N Drink,0,0,3.8,32,74,287,250.0,4,12,0,1
Boondock Bistro,1,1,3.9,1649,15,1806,900.0,1,15,0,1
Shaap,1,0,3.6,207,13,728,500.0,4,0,0,0
Snow Gola,0,0,3.7,17,29,218,150.0,3,6,0,0
Smoor,1,0,3.6,18,29,234,900.0,2,4,0,0
Cueferia ACafe,0,0,3.7,0,74,1405,400.0,4,1,1,0
Bhavani Foods,0,0,3.7,0,27,2084,300.0,2,29,1,0
Bistro Oui,1,1,4.1,402,6,2381,1200.0,2,28,0,1
Sri Krishna Sagar,0,0,3.1,54,74,1753,300.0,4,25,0,0
Sakae Japanese Restaurant,0,1,4.3,519,13,640,1400.0,2,20,0,1
GrannyzHut,1,0,3.4,8,74,1982,350.0,4,0,0,0
The Lobby Brew  Conrad Bengaluru,0,1,3.8,25,3,2477,2200.0,4,22,0,1
Hotel Ruchi Priya,1,0,3.6,22,74,917,350.0,2,2,0,0
M World Cafe,1,0,3.5,14,3,2257,500.0,4,29,0,0
Bombay Kulfis,0,0,3.7,0,29,548,200.0,3,15,1,0
Bawarchi Restaurant,1,0,2.7,53,92,1037,400.0,2,21,0,0
Hotel Ambara,0,0,3.7,0,13,1628,500.0,4,4,1,0
Casa Express,0,0,2.6,26,74,2595,400.0,4,18,0,0
Indigo XP,0,0,4.2,2368,69,448,1400.0,4,28,0,1
Thayee Touch,0,0,3.6,30,13,1132,450.0,2,25,0,0
World on a Swirl,0,0,3.8,46,36,563,300.0,4,4,0,1
Blue Tokai Coffee Roasters,1,0,4.0,76,3,2329,400.0,1,2,0,1
The Shawarma Shop,1,0,4.1,382,74,236,250.0,4,25,0,1
Tata Cha,1,0,3.8,68,67,2507,500.0,2,5,0,1
The Hungers Zone,1,0,3.8,57,74,374,300.0,2,28,0,1
Cake Of Day,0,0,3.7,0,0,1780,150.0,3,16,1,0
The Street Kitchen,1,0,3.7,16,74,1210,300.0,2,9,0,0
Nandhana Mithai,0,0,3.7,0,86,836,500.0,3,3,1,0
Sri Sai Palace,1,1,3.8,88,74,1745,300.0,4,15,0,1
Fish Chain,1,0,4.1,52,92,1578,250.0,2,24,0,1
Park N Eat,1,0,3.7,16,74,2622,300.0,2,17,0,0
Malabar Cafe,1,0,3.3,4,74,1716,400.0,2,2,0,0
The Midnight Kitchen,1,0,3.8,72,27,67,250.0,2,28,0,1
Mecaf Family Restaurant,1,0,3.9,214,13,1067,600.0,4,0,0,1
ZOROY Luxury Chocolate,1,0,4.0,68,29,218,250.0,2,6,0,1
Masala Oota,1,0,3.6,79,74,1640,500.0,2,13,0,0
Starlite Bakery  Fastfood,1,0,3.7,0,74,1121,300.0,2,1,0,0
Grand Gowdru Hotel,1,0,3.4,31,13,1737,700.0,4,2,0,0
D2V Cafe,0,0,3.6,13,3,2257,700.0,4,0,0,0
Capsicum Family Restaurant,1,0,3.8,257,13,2151,800.0,2,3,0,1
Tea Journey,1,0,3.8,71,3,2257,500.0,1,23,0,1
Lassi Magic,1,0,3.7,0,56,2022,200.0,2,2,1,0
Delhi Walle,0,0,3.7,118,74,1432,300.0,2,15,0,0
Lazzet Lee,1,0,3.7,0,74,872,600.0,1,6,1,0
Burger King,1,0,3.9,1047,74,2233,600.0,4,28,0,1
Deccan Spices,0,0,3.7,24,74,2149,500.0,2,5,0,0
Maratha Darshan,0,0,4.0,107,74,776,400.0,4,22,0,1
Big Mishra Pedha,1,0,3.3,7,86,838,300.0,2,4,0,0
Cloud Foods,0,0,3.7,0,13,1624,600.0,4,18,1,0
The Fishermans Wharf,1,1,4.4,4099,14,1598,1400.0,6,17,0,1
Kabab and Biryani Centre,0,0,3.7,0,74,1199,300.0,4,6,1,0
Shudh Desi Khana,1,0,3.5,18,74,999,200.0,2,3,0,0
Shake It Off,1,0,4.0,60,56,2010,600.0,2,17,0,1
Cafe Terra,1,0,4.1,778,3,2331,700.0,4,28,0,1
SGS Non Veg  Gundu Pulav,1,0,3.5,41,74,2109,400.0,2,29,0,0
Saatvikk,0,0,2.8,133,13,1398,650.0,4,18,0,0
Chichabas Taj,1,0,4.1,245,13,2176,600.0,4,11,0,1
Thalassery Restaurant,1,0,3.6,383,13,701,600.0,4,3,0,0
Thancos Natural Ice Cream,1,0,3.8,67,29,555,450.0,2,9,0,1
Sultans of Spice,1,1,4.5,3468,13,1311,1300.0,0,28,0,1
Pathummas Kitchen,0,0,3.2,7,74,917,200.0,4,21,0,0
Mysore Carnival Restaurant,0,0,3.8,14,74,2601,350.0,2,29,0,1
Jiyo Natural,0,0,3.6,14,27,511,300.0,2,3,0,0
Eat Eroo  Bombay Vada Pav,0,0,3.7,0,74,1841,200.0,2,19,1,0
Food Box,1,0,3.6,21,74,298,350.0,2,22,0,0
Naidu Hotel,0,0,3.7,0,74,1628,200.0,2,21,1,0
Kulfi Point,0,0,3.4,5,29,218,300.0,2,10,0,0
Biryani RooheKhaas,1,0,3.7,0,74,2142,400.0,2,4,1,0
Raees Restaurant,0,0,3.3,6,13,2663,500.0,2,27,0,0
Baba Da Dhaba,0,1,4.1,453,13,917,650.0,2,2,0,1
Swathi Restaurant,1,0,3.7,0,92,2691,400.0,2,0,1,0
Toscano,1,1,4.5,710,13,636,1500.0,4,0,0,1
Kedias Fun Food,0,0,3.7,0,74,1440,200.0,2,4,1,0
The Souk,1,0,3.7,66,3,2464,800.0,1,22,0,0
Cookie Man,1,0,3.7,0,29,1780,150.0,2,25,1,0
Bite Me Cupcakes,1,0,4.1,189,29,218,300.0,2,0,0,1
Happy Belly Bakes,1,0,4.2,115,5,2282,500.0,2,23,0,1
Salkara Arabian Delight  Bakes,1,0,3.7,0,74,313,300.0,2,2,1,0
Hotel Ambara,0,0,3.7,0,13,1628,500.0,2,24,1,0
Farzi Cafe,0,0,4.4,2392,19,852,1500.0,4,18,0,1
Caf Secret Alley,1,0,3.9,87,3,2405,450.0,2,10,0,1
Kopper Kadai,1,1,4.1,1697,13,999,1200.0,2,28,0,1
Vietnamese Kitchen,1,1,4.1,536,13,8,800.0,2,10,0,1
Indori Chatorey,1,0,2.8,137,74,1432,300.0,4,25,0,0
Thancos Natural Ice Cream,1,0,3.6,28,29,555,450.0,2,2,0,0
Corner House Ice Cream,0,0,4.3,345,29,555,400.0,2,1,0,1
Wok And Rolls,1,0,3.7,0,74,2704,300.0,4,2,1,0
Sky Juice Corner,1,0,3.7,0,56,649,100.0,2,3,1,0
GOOD MEALS,1,0,3.7,0,92,1344,250.0,2,23,1,0
Hoai Ice Cafe,0,0,3.5,12,29,218,150.0,3,11,0,0
